,V1,V2
mission,2.004828,-0.81049466
fond,1.7297729,-0.45208555
chiffre,2.074302,-0.15976702
masque,1.7263006,-0.124856845
idéologie,2.334618,-0.09129779
genre,2.318087,-0.80243766
film,2.088703,-0.27975273
lille,2.455534,-0.39257917
second,2.1292825,-0.6271716
mot,2.2168367,-0.8798269
fête,1.6628308,-0.838113
islamophobie,1.760711,-0.26199895
culte,1.5737674,-0.89120215
sondage,2.0756948,-0.52747
médecin,2.349211,-0.7103525
lettre,2.0026157,-0.25019076
sortie,1.9380322,-0.573979
armée,1.593004,-0.78594565
dispositif,1.5710632,-0.58561283
màj,1.6854422,-0.52396476
laurent,1.8460925,-0.2736014
ami,2.0177577,-0.63581216
gaz,1.9235379,-0.3296086
régime,1.7311543,-0.42866907
réunion,2.0265248,0.039688095
large,2.1841936,-0.20187913
cortège,1.9710903,-0.6676263
virus,1.5214294,-0.55939126
hommage,2.0068612,-0.5466152
frère,1.6659261,-0.0689681
carte,1.6834131,-0.8757214
air,1.7325958,-0.49953565
foule,1.557762,-0.43214133
condamnation,1.54835,-0.59274304
mulhouse,1.6786081,-0.4849172
matière,1.9175413,-0.4344991
discrimination,1.5700719,-0.5565277
voyage,1.8422989,-0.18497315
entretien,1.643576,-0.6392399
libye,1.7987084,-0.30989376
fonds,1.7817911,-0.32105088
proximité,1.7319521,-0.9283381
port,2.151595,-0.6596637
lrem,1.9346828,0.079965346
moyen,1.848348,-0.073997684
arabe,1.9925053,0.10623882
position,2.09058,-0.9776205
habitant,1.681495,-0.11088081
commission,1.640947,0.16655482
gros,2.346973,-0.095445104
document,1.236714,-0.21788783
économie,1.8339064,-0.31498122
rouen,1.4314417,-0.09929513
retrait,2.2201633,-0.38756016
international,1.5895964,-0.106494725
couple,1.7054543,-0.40149912
prochain,2.1119552,-0.6597124
lycée,1.7719754,-0.815784
insee,1.9802215,0.017279353
responsabilité,1.5896533,-0.14400987
préfet,1.5645062,-0.741147
double,1.7318856,-0.07210968
mineur,1.7282706,-0.6746353
michel,2.0983286,-0.3220782
ambassade,1.7468331,-0.6439242
comportement,2.1628802,-0.7535001
prix,2.0709662,-0.86712277
changement,1.6625638,-0.85807073
sûr,1.5641617,-0.85461354
dos,1.7573259,-0.8346839
clair,1.5246592,-0.95021874
pandémie,1.3038604,-0.0908411
opinion,1.8441416,-0.34143293
local,1.9893775,-0.9136504
faux,1.8972521,-0.41003072
visite,1.7773545,-0.3444935
trentaine,1.6053828,-0.3623811
ue,1.6406387,-0.85958827
violent,1.3713816,-0.5101688
emploi,1.9132909,-0.063726306
mode,1.7335134,-0.5176323
radio,1.947796,-0.33967614
christophe,1.9973614,-0.17714559
cfcm,1.6364542,-0.6887306
photo,1.9525306,-0.18736677
député,1.5669925,-0.5125915
football,2.0626035,-0.1684628
mayotte,1.6254625,-0.600522
noah,1.5237404,-0.3974575
provisoire,1.6330031,-0.5855529
retraite,1.4432048,-0.057373423
comité,2.2862258,-0.06432726
victoire,1.5977297,-0.36322358
refus,1.799861,-0.0075349887
série,1.7837747,-0.17642061
principal,2.1288242,-0.14050376
hebdo,1.6637267,-0.11576814
chance,1.4690868,-0.55503416
centaine,1.6095469,0.05775376
prophète,1.6325688,-0.60267425
combat,1.9338459,-0.4108234
républicain,1.3853068,-0.7617439
dieu,2.366882,-0.100150764
espagne,1.6412146,-0.4327287
administratif,1.0819432,-0.19888763
grave,1.9787911,-0.66126895
élu,1.4278849,-0.6669357
mobilisation,1.4931124,-0.616639
traite,1.8580981,-0.7509664
note,2.4257832,-0.9804187
boulevard,1.8361367,-0.1487825
tunisien,1.6073956,0.10994489
rt,1.6651819,-0.49104223
création,1.551566,-0.8146032
david,1.5780098,-0.60220695
usage,1.7985064,-0.9739021
engagement,1.5989883,-0.28998753
durée,1.6201783,-0.50922334
originaire,1.4877896,-0.2977922
côte,1.8726271,0.0018190152
type,1.662114,-0.03722164
chaîne,1.3923249,0.04571989
siège,1.7759476,0.016871363
restaurant,1.324822,-0.3244452
doute,1.860799,-0.44508675
parc,1.6811081,-0.94235134
actexxiii,1.5675561,-1.0629458
propagande,1.9387345,-0.40711594
démocratie,1.8622923,-0.107798874
propre,1.5952225,-0.45069534
laïcité,1.3322821,-0.9895415
squat,1.8605678,-0.65772474
augmentation,1.4256957,-0.21413684
green,1.6527362,-0.7849574
sang,1.8236336,-0.7175974
rappeur,2.2057207,-0.8028283
intérêt,1.7382779,-0.36394545
risque,2.16417,-0.02041739
hausse,1.2275245,-0.71741337
phénomène,1.7724307,-0.18346459
administration,1.8947358,-0.45749035
propriétaire,1.9650005,-0.39610678
conducteur,1.5027415,-0.47413
sénégal,2.0636847,-0.03493805
chauffeur,1.7138246,-0.61109394
basilique,1.8634415,-0.39144176
migrant,1.8113884,-0.78161275
arrondissement,1.3332819,-0.41200417
fondation,1.6808213,-0.22777615
interpellation,1.5343812,0.17944261
tunisie,1.5844216,-0.4613484
plume,1.6874132,-0.7651265
bout,1.4547015,-0.26666254
alain,1.5963941,-0.40334943
patrimoine,2.0094247,-0.8228317
parole,1.6685956,-0.28811318
samuel,1.7754835,0.011724746
antoine,1.9024702,-0.0124954395
révolution,1.3294933,0.031411353
valérie,1.2955494,-0.55864656
revanche,1.4440876,-0.644793
vague,1.1304239,-0.8047291
imam,1.4026774,-0.49219888
danièle,1.3324484,-0.12390303
sentiment,1.5996712,-0.7561719
drame,2.0453973,-0.051300608
relation,1.5457437,-0.05182663
chemin,1.5977138,-0.6789779
mediapart,1.7765384,-0.16446593
jacques,1.9864156,-0.082102805
référence,2.0005193,0.05256014
alerte,1.3275155,-0.82685465
encontre,1.6262482,-0.078027174
vrai,2.0202634,-0.070457265
réaction,1.8649651,-0.6174476
dissolution,1.5238357,-0.54977417
lr,1.3090657,-0.018694226
internet,1.5520484,-0.48137733
avenir,1.5350757,-0.6329477
meeting,1.4331993,-0.04659235
antisémitisme,1.3194848,-0.66984326
jérôme,1.3698025,-0.47705215
surprise,1.8323314,-0.50953555
moyenne,1.3996096,-0.35765886
constat,1.3211193,-0.31186292
tv,1.453268,-0.13810822
sénat,1.5598768,-0.4320479
base,1.5286824,-0.042079322
compagnie,1.7472923,-0.009621995
neuf,1.5891391,0.11121638
bras,1.7156111,-0.3554149
téléphone,2.0124385,-0.13755418
marché,1.5811632,-0.36323437
humanité,1.634809,-0.62490624
sac,0.978806,-0.100356184
date,1.8558564,0.13112468
vote,1.8852582,-0.17361264
minorité,1.6584362,-0.60770214
nouveau,1.7952389,-0.72512
parlement,1.7605156,-0.046909656
salle,2.0202122,-0.21328935
obs,1.5808846,0.10861604
arrestation,1.1862012,-0.6628949
rencontre,1.9207394,-0.0023376383
égalité,1.8991001,-0.5375588
critique,1.5142403,-0.68195426
croix,1.8645399,-0.52225214
interview,1.1138904,0.18561241
parlementaire,1.8541703,0.13052027
amende,1.6934744,-0.9107872
village,1.6364648,-0.49531338
collège,1.7028217,-0.09693861
art,1.770541,-0.7990866
navire,1.8935833,-0.8487183
faute,1.1562085,-0.8476787
courrier,1.233647,-0.029257763
artifice,1.6257617,-0.52802134
bande,1.5543134,-0.5588817
irak,1.725199,-0.014854579
possibilité,1.395023,-0.53110397
voie,1.4158928,-0.19783513
flux,1.414735,-0.43394685
communication,1.7815318,-0.52587
lendemain,1.1407663,-0.47019863
rap,1.7464429,-0.7844797
officiel,1.4056361,-0.844058
œuvre,2.0278442,-0.012410556
prévenu,1.078894,0.04112946
éducation,1.5101066,-0.32728168
maroc,1.4534141,-0.04916015
page,1.8413246,-0.0986915
ressortissant,1.0384054,-0.43386543
logique,1.6217291,-0.16653913
dangereux,1.5271065,-0.105401255
front,1.6161927,-0.78342587
midi,1.182971,-0.7501981
noël,1.8978484,-0.10595054
pression,1.1668618,-0.043737892
hexagone,0.96393985,-0.6105377
enfance,1.4858156,0.013237524
contexte,1.6929331,-0.071866795
initiative,1.3330308,-0.49210876
pass,1.2124262,-0.46005946
commun,1.0603353,-0.66755307
anne,1.8131733,-0.417875
premier,1.2172576,-0.7263426
comparution,1.6116188,-0.17973119
recours,1.4332539,-0.23256175
jeu,1.2778744,-0.31145522
coût,1.6135958,-0.8432715
pire,1.5682839,-0.22744653
nantes,1.3214333,0.028431771
tribune,1.1534988,-0.67634964
armé,1.4066186,-0.18383439
ramadan,1.6967303,-0.08576305
climat,1.7891828,-0.7437949
avis,1.5688866,0.073592
sandrine,1.2683384,0.13501212
capitol,1.526402,-0.48065624
décès,1.4974983,-0.026459508
vendée,1.3817041,-0.6487741
bien,1.0947775,-0.16609445
récit,1.2128516,0.10890439
senalg,1.3197155,-0.89347154
vente,1.3793952,-0.103437364
agent,1.1849567,-0.6775505
faveur,1.2963349,-0.08781064
jdd,1.4662284,-0.20016441
véritable,1.5820756,-0.092215665
incident,1.1959684,-0.5432382
succès,1.4411434,-0.4731893
passé,1.4420342,0.07506347
paix,1.1900189,-0.7280398
bruno,1.0435687,-0.6914872
mediavenir,1.706466,0.06360852
statut,1.2809591,0.053702097
barre,1.7489312,-0.61775535
ligue,1.3836466,0.04687791
solution,1.8317257,-0.5864572
instruction,0.8185866,0.11394765
tpmp,1.6256031,0.33537933
édition,0.93224823,-0.77300304
diffusion,1.4093906,-0.8312331
elysée,1.4257843,-0.6092323
circulation,1.7061607,0.037309185
nécessaire,1.3396722,-0.07022934
brexit,1.9169737,-0.4593983
onu,1.4016263,0.17686573
militant,1.376308,-0.46129388
croissance,1.4042537,-0.5778588
analyse,1.732502,-0.6456872
jeanne,1.276217,0.13654117
numéro,1.6027975,-0.04165615
banlieue,1.0759424,-0.4363338
sûreté,1.5197587,-0.6100714
délit,1.7015121,0.14828807
clip,1.5954611,-0.53202826
honneur,1.429852,-0.63819367
fermeture,1.1083624,-0.46641305
attente,1.2075413,-0.10676496
départemental,0.83403444,-0.028884122
déclaration,1.2183005,-0.78595966
eelv,1.7147138,0.14806496
piste,1.0556055,-0.12097539
million,0.9862714,-0.7888173
nourriture,1.1201915,0.02035048
remplacement,1.370007,0.3074131
ampleur,1.5871516,0.052862074
metz,1.0725169,-0.7439258
directrice,1.4397224,-0.33725548
esprit,1.791419,-0.31604528
motif,1.1032091,0.08038918
stade,1.3074129,-0.27599332
municipalité,1.2315072,-0.8482659
sport,1.300442,-0.03316598
puissance,0.9148861,0.14112471
accusé,1.1207627,-0.34904402
quarantaine,1.194986,-0.7835939
bilan,1.3426658,0.11937586
caractère,1.4525889,-0.11949516
bagarre,1.1565692,0.21491197
guillaume,2.021227,-0.9374491
nature,1.1138865,-0.36172146
code,1.3941556,-0.511103
renseignement,1.4702713,-0.74957603
eau,1.44415,-0.08842495
montant,1.5832615,-0.5040685
batley,1.4071828,-0.96478814
avenue,1.3047752,-0.6678732
atteinte,1.173655,-0.060565315
grèce,1.6239258,-0.12963937
tiers,0.87649745,-0.6501679
scolaire,1.6500264,-0.086433075
figure,1.1204981,-0.7023612
haïti,1.4687556,-0.20349438
couverture,1.813179,-0.298541
baisse,1.307815,-0.90879107
élysée,1.0398872,-0.3292249
attention,1.4510972,-0.09698474
garçon,1.4462022,0.005868601
fédération,1.4580138,-0.11192419
preuve,1.2327945,-0.02920222
prêtre,1.5249025,-0.05030515
s,1.4619386,0.21713133
patron,1.4944291,-0.42572975
gestion,1.125101,-0.7719467
orgue,1.3266777,-0.5068415
lfi,1.9519204,-0.57448125
geste,1.4163694,-0.75329685
témoin,0.86172694,-0.65798247
résultat,1.3200744,-0.44310093
impact,1.0057491,-0.6417486
instant,0.9826233,-0.5641671
dauphiné,1.2759088,0.018057968
île,1.5619437,0.10295114
valence,0.92979336,0.062333018
peau,1.2546455,-0.58398044
belgique,1.0047479,-0.029668013
