,V1,V2
collimateur,1.6831603,1.4027874
ferme,1.9210596,0.50436187
propagande,2.414818,0.62510407
efficace,2.228606,-0.029711897
dissuasion,2.3475447,-0.5279448
colonialiste,1.6914837,1.5538034
lavrov,2.1670842,-0.61832374
mohammad,2.403751,-0.6215945
abidjan,1.8058246,1.1102638
transit,2.226259,-0.045031615
canal,2.6430454,0.3895699
gendarmerie,1.8847815,1.4130417
prison,2.0432649,0.27887607
malabo,2.1739028,0.6195582
sort,1.9319419,1.4772503
vaste,1.8710196,0.3856297
milieu,2.0426946,0.30522895
perte,2.2011814,0.93981963
grave,2.1647909,0.72478485
damas,2.4794004,-0.14890632
corruption,2.410849,0.85634625
passé,2.39756,0.6053752
félix,1.5424327,1.5331172
carburant,1.8885503,-0.27419123
pire,1.823067,0.52534395
assistance,1.7583628,0.7230512
libyen,1.7217287,0.96612054
électricité,2.3008595,0.0342521
mozambicain,1.4529532,1.206659
sérieux,2.3565195,0.6135082
fonction,2.2114785,0.5905749
panique,1.673833,1.8369945
néocolonialisme,1.7293547,2.422299
siècle,2.1425273,0.86236334
pont,2.0976224,0.6648951
extension,1.727637,1.4951563
mot,2.2879586,0.91768914
dépit,1.8279607,0.74201584
contingent,1.755997,1.6591958
