,V1,V2
avion,1.1297413,0.8359779
faible,1.5709478,1.1321523
manœuvre,1.4984083,1.4170338
élevé,1.8320478,0.7710944
rappel,1.5209652,0.66144544
twitter,1.3049008,0.9236677
diallo,1.4780898,1.2132937
fermeture,1.1756551,0.7940238
logique,0.962528,1.1887434
david,1.8288045,1.0246177
asie,1.3738091,1.1757048
potentiel,1.7370914,0.62768644
enseignement,1.3914539,0.5161105
direct,1.5357804,1.4078087
immigration,1.6384857,1.2275174
dégradation,1.4639679,1.171307
azur,2.0984879,1.6404935
référence,1.2366276,1.4001492
rassemblement,1.6815753,0.93083
mohammed,1.579234,1.035608
hassan,2.0154486,1.243981
normand,1.5396187,0.7713794
chérifien,1.8474903,1.0516105
euro,1.883065,1.0900012
jean,1.597969,1.2590015
œil,1.346559,0.9885187
aigle,1.8410825,0.69083136
aérien,1.6291252,0.39516324
climat,1.0192199,1.1781174
trentaine,1.2555526,0.6705799
