,V1,V2
nation,1.6405895,1.265365
propre,2.010391,1.6901928
solidarité,1.192471,1.6122146
fond,1.5939231,1.8452215
voix,1.7801012,1.7237022
opinion,1.8751813,1.6148726
delta,1.704466,0.99307424
médecin,1.6718752,2.1213903
couteau,1.9207872,1.8067902
occident,1.5431706,1.8886771
village,1.4910609,2.072869
consommation,2.0742242,1.9269043
vision,1.7547129,1.9275275
siècle,1.5385318,1.9566462
proximité,1.809081,1.6514448
contamination,1.1014571,1.7027283
éducation,1.4605598,1.3679471
usage,2.1741385,1.5649079
soirée,1.7070704,1.4311405
véritable,1.9789127,1.7671821
trafic,2.177047,1.60765
relation,1.1698325,1.7385864
biden,2.3620641,1.4707117
gros,1.6926912,1.8391633
allemand,1.5947369,1.5464756
valeur,1.962811,1.5112919
réforme,2.0013137,0.9360355
ampleur,1.810405,1.5850946
nature,1.557284,1.7732633
série,1.9983021,1.193326
livre,1.7091606,1.6796263
internet,1.3722469,1.6708227
simple,1.7447033,1.3778026
samuel,2.0762486,2.0159798
phénomène,2.3556347,1.7183878
large,1.5299501,1.7688675
influence,1.8704833,2.1486354
merkel,1.3633571,2.3351195
social,1.2374381,2.2126653
puissance,1.7791471,2.03724
téhéran,1.443488,1.6897364
sénat,1.4686058,1.5758252
succès,1.8001953,1.3587871
statut,1.8602197,1.5677286
hidalgo,1.4599605,1.7990164
march,1.5822079,1.9927058
diplomatique,1.665609,1.359114
faux,1.6184666,1.506946
expérience,2.2782383,1.3447112
engagement,1.5368372,1.8796823
siège,2.1312876,1.2714893
côte,2.1140041,1.5971909
record,1.709666,1.1658286
venezuela,1.4961668,1.5022984
principe,2.0257258,1.7311031
procès,1.3755921,1.336624
prochain,1.6942852,1.3533435
million,1.2616236,1.2439406
brigitte,1.8552206,1.8286631
erreur,1.4335251,1.9842232
instant,1.9191898,1.8065366
galina,2.5103009,1.6630982
mer,1.9024837,1.7358122
victoire,1.8800539,1.113688
référence,1.3660429,1.6357458
retrait,1.30723,1.9206506
reprise,1.4449304,1.7845393
usa,1.3957292,1.3170879
radio,2.1090603,1.4602221
résultat,1.743635,1.8420864
explosion,1.9236789,1.2324551
turc,1.6063755,1.0368704
ankara,1.88279,1.6065197
collectif,1.9202546,1.565424
jacques,1.7757235,2.204118
attentat,0.9152153,1.860364
londres,1.5073622,1.5948747
faible,1.5746511,1.3186071
énergie,1.3502707,1.139717
déplacement,1.5227971,1.7233351
officiel,1.2021443,1.5200617
assistance,1.3366311,1.2847717
aéroport,2.099739,1.8158103
proposition,1.5703073,1.7304893
corse,1.766758,1.1891781
couple,1.9293122,1.6335118
élevé,1.8689021,1.6109973
ouest,1.7975168,1.5857378
logique,1.5606208,1.5729619
parole,1.4836655,1.7228776
lr,1.6972806,1.822343
génération,2.3470564,1.5180385
revanche,1.8747444,1.2158545
dispositif,1.1570562,1.8265479
